Region,RegionName,Visibility
US East (Ohio),us-east-2,Public
US East (N. Virginia),us-east-1,Public
US West (N. California),us-west-1,Public
US West (Oregon),us-west-2,Public
GovCloud (US-West), us-gov-west-1,Restricted
GovCloud (US-East), us-gov-east-1,Restricted
Africa (Cape Town),af-south-1,Enabled
Asia Pacific (Hong Kong),ap-east-1,Enabled
Asia Pacific (Mumbai),ap-south-1,Public
Asia Pacific (Osaka-Local),ap-northeast-3,Restricted
Asia Pacific (Seoul),ap-northeast-2,Public
Asia Pacific (Singapore),ap-southeast-1,Public
Asia Pacific (Sydney),ap-southeast-2,Public
Asia Pacific (Tokyo),ap-northeast-1,Public
Canada (Central),ca-central-1,Public
China (Beijing),cn-north-1,Restricted
China (Ningxia),cn-northwest-1,Restricted
Europe (Frankfurt),eu-central-1,Public
Europe (Ireland),eu-west-1,Public
Europe (London),eu-west-2,Public
Europe (Milan),eu-south-1,Enabled
Europe (Paris),eu-west-3,Public
Europe (Stockholm),eu-north-1,Public
Middle East (Bahrain),me-south-1,Enabled
South America (São Paulo),sa-east-1,Public
